,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_batch_size,param_dropout_rate,param_epochs,param_num_nodes,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,761.4452993154525,49.344945438493205,0.46665329933166505,0.10171833654643095,relu,100,0.0,100,100,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.0, 'epochs': 100, 'num_nodes': 100, 'optimizer': 'adam'}",0.5556837103465544,0.5326156582982666,0.530244774273324,0.5236447481761968,0.5237088276837921,0.5214661021125969,0.5098039184635027,0.506792258581534,0.5196078400397689,0.5068888142108153,0.5230457687490372,0.01387199624150513,26,0.7408029729492973,0.7433803481421581,0.7453098188946129,0.7446405565092017,0.7444056020975818,0.7430741949912278,0.7460787598492111,0.7466768240584567,0.7424974904397622,0.7453329920707629,0.7442199560002273,0.001696754033778477
1,1602.0243831157684,101.11550433751235,0.9272390365600586,0.19267922307589333,relu,100,0.0,100,200,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.0, 'epochs': 100, 'num_nodes': 200, 'optimizer': 'adam'}",0.5328719693468913,0.5155709304825459,0.4973728021765067,0.4960271641564311,0.48917082861480266,0.4924388006472762,0.48577469994467865,0.4673843380676299,0.48833781775642354,0.4683114358608022,0.49332623899505107,0.018657520303159474,35,0.9117355996252466,0.9169829066244135,0.9125330200002002,0.9175311326242179,0.9144838501256799,0.9091012671168766,0.9143058559539327,0.9187486221327525,0.9157226989962056,0.9137796014842287,0.9144924554683754,0.002758839741617375
2,2724.141751885414,134.6140031588728,1.5564677715301514,0.2827891569514436,relu,100,0.0,100,300,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.0, 'epochs': 100, 'num_nodes': 300, 'optimizer': 'adam'}",0.5251185434927592,0.5287709832115081,0.5027553485201579,0.5019864146562474,0.487504804209228,0.4980776612153347,0.49737280122358096,0.4841727516016532,0.4940407509706302,0.48580582905888975,0.5005606833620345,0.014564758641246107,33,0.9543263617965244,0.9575018011247897,0.9528311987619633,0.9533438257409482,0.9542124441723938,0.9532583884122328,0.9575729991053189,0.9553231364987963,0.9531017525763396,0.9541202125206493,0.9545592120709957,0.0016423165129596583
3,4363.531431055069,234.12950384355588,1.9440377950668335,0.30892466114350986,relu,100,0.0,100,400,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.0, 'epochs': 100, 'num_nodes': 400, 'optimizer': 'adam'}",0.5496603856938597,0.5274894249892977,0.5058310880243022,0.5167884118707,0.5016660246882059,0.511854411370782,0.50108932256775,0.49871843998269916,0.5011533997875597,0.49362383565624646,0.5107875844448703,0.016006541698670447,28,0.9597587841542139,0.9659459087985872,0.9658675926154828,0.9641303548049638,0.9662235827651143,0.96626630136136,0.9674553121535763,0.9629342251362658,0.966949804989789,0.9659959906903804,0.9651527857469734,0.0021870310079604494
4,1145.3464777946472,91.78715392662427,1.0622243642807008,0.11791154393503422,relu,100,0.3,100,100,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.3, 'epochs': 100, 'num_nodes': 100, 'optimizer': 'adam'}",0.6117518885569834,0.6005382524703262,0.5749070834887421,0.5718313453671994,0.5673458917040436,0.5759323336223173,0.5647827730825983,0.5543380721087763,0.5667051118672635,0.5559115647047386,0.574404550196501,0.017416481577750696,12,0.6388257990768464,0.639765615994251,0.6401429661135777,0.6398937719069052,0.6396659381329204,0.6346678244356599,0.6394167447338323,0.6400931271928851,0.6412322984028094,0.6423099379777681,0.6396014023967457,0.0018874197378571861
5,1865.2315418958665,121.15486022692781,1.5644222497940063,0.4321591534431276,relu,100,0.3,100,200,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.3, 'epochs': 100, 'num_nodes': 200, 'optimizer': 'adam'}",0.612136356925011,0.592848904397447,0.5704216305436224,0.5763168018948615,0.5677303609046878,0.5737536816883894,0.5672818129679552,0.5533128257506202,0.5649750079349969,0.561294455457215,0.5740072653075203,0.016072288270229756,13,0.6851046262347216,0.6847130365601137,0.6856030155965429,0.6850476680691905,0.6873687290555784,0.6872619324811503,0.6891771633413709,0.6900457816692692,0.6812029660571788,0.689414329481924,0.6864939248547041,0.00256282409979038
6,3168.2828075408934,148.4076578871063,2.3978814840316773,0.3752309962195929,relu,100,0.3,100,300,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.3, 'epochs': 100, 'num_nodes': 300, 'optimizer': 'adam'}",0.6159169517173899,0.5938741503106498,0.5751633973560409,0.570357553182497,0.5689478396727735,0.5734973722247914,0.5633730594506557,0.5511982572753964,0.5622196592276912,0.5617430295863238,0.5736292031645475,0.017643432426767483,14,0.717464206349902,0.7227898311783212,0.7240500398212081,0.7271044414792854,0.7224267192477902,0.7181121094722014,0.7256377583556562,0.7256235190511805,0.7200558206736696,0.7297620579012792,0.7233026503530494,0.0037440165376804416
7,4749.351214599609,267.0995573147782,2.5966084003448486,0.4777085111189177,relu,100,0.3,100,400,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.3, 'epochs': 100, 'num_nodes': 400, 'optimizer': 'adam'}",0.6097013962340633,0.5972062027272576,0.5751633965921726,0.5686915269741932,0.5670255012700424,0.5709983305443438,0.5651031625044739,0.5510700995167692,0.5638216045878108,0.559884650724051,0.5728666703535977,0.016718978154336733,16,0.7545299847945066,0.7525791543044894,0.7521662051282714,0.7592789034813298,0.7514257435914822,0.7485137379267155,0.7551209292870095,0.754942933503913,0.7524438774834492,0.7510003277563466,0.7532001797257514,0.0027825026822508796
8,1229.379237318039,140.03779998259975,1.8135108709335328,0.28577248472579114,relu,100,0.5,100,100,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.5, 'epochs': 100, 'num_nodes': 100, 'optimizer': 'adam'}",0.6116237323910215,0.5958605661890866,0.5703575532588839,0.5723439705199223,0.5709342540234736,0.5672177357519649,0.5659361785991702,0.5599128520253468,0.5644623839853666,0.555270743538118,0.5733921131462004,0.016328995191320722,15,0.6116992875509379,0.6108947469627237,0.6141769837790949,0.6137711545178025,0.615145279142067,0.6105031566103902,0.6120267978906385,0.6135077206472093,0.6141057863578911,0.6158101578096046,0.6131641071268359,0.0017028125069124816
9,1902.2081278562546,61.168030891368915,2.2432335376739503,0.4067225080201487,relu,100,0.5,100,200,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.5, 'epochs': 100, 'num_nodes': 200, 'optimizer': 'adam'}",0.6191208485638532,0.6012431089043633,0.5767653436060671,0.5733692150963555,0.5693963835304492,0.5734332941761845,0.570421632327255,0.5577982806225976,0.5615147994784656,0.5607817972061612,0.5763845703304981,0.018321265995946738,11,0.6332367414761148,0.6343118343759958,0.6394665832963529,0.641780524677184,0.6424996271715359,0.6346607053232262,0.640733911750618,0.6394238651817721,0.6359137928739731,0.6436840531063067,0.6385711639233078,0.0035641558269482237
